GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P012001,P012001.2000,P012002,P012002.2000,P012003,P012003.2000,P012004,P012004.2000,P012005,P012005.2000,P012006,P012006.2000,P012007,P012007.2000,P012008,P012008.2000,P012009,P012009.2000,P012010,P012010.2000,P012011,P012011.2000,P012012,P012012.2000,P012013,P012013.2000,P012014,P012014.2000,P012015,P012015.2000,P012016,P012016.2000,P012017,P012017.2000,P012018,P012018.2000,P012019,P012019.2000,P012020,P012020.2000,P012021,P012021.2000,P012022,P012022.2000,P012023,P012023.2000,P012024,P012024.2000,P012025,P012025.2000,P012026,P012026.2000,P012027,P012027.2000,P012028,P012028.2000,P012029,P012029.2000,P012030,P012030.2000,P012031,P012031.2000,P012032,P012032.2000,P012033,P012033.2000,P012034,P012034.2000,P012035,P012035.2000,P012036,P012036.2000,P012037,P012037.2000,P012038,P012038.2000,P012039,P012039.2000,P012040,P012040.2000,P012041,P012041.2000,P012042,P012042.2000,P012043,P012043.2000,P012044,P012044.2000,P012045,P012045.2000,P012046,P012046.2000,P012047,P012047.2000,P012048,P012048.2000,P012049,P012049.2000
42027,050,42,027,44300,999,,,Centre County,153990,63297,135758,53161,153990,135758,79763,69322,3476,3206,3316,3519,3499,3643,2205,2121,5978,4530,4590,3476,5663,4211,7923,6911,5963,5323,4377,4616,4147,4677,4311,4558,4647,4224,4511,3528,4133,2637,1423,912,1953,1262,999,788,1418,1078,1878,1639,1520,1222,1039,742,794,499,74227,66436,3295,3067,3304,3401,3299,3483,2118,2026,5834,4938,4043,3683,4672,3841,5749,4802,4633,4156,3786,4044,3619,4350,3945,4152,4479,3860,4272,3511,4011,2694,1469,940,1981,1379,1049,828,1566,1255,2240,1983,1789,1680,1513,1223,1561,1140
42031,050,42,031,99999,999,,,Clarion County,39988,19962,41765,19426,39988,41765,19367,20162,1067,1108,961,1290,1113,1379,746,842,939,937,523,521,528,466,974,1008,1049,1157,936,1208,1094,1402,1188,1496,1391,1468,1443,1228,1413,1023,484,379,662,559,344,363,537,433,737,780,547,560,399,334,292,221,20621,21603,986,1159,1049,1210,1110,1290,723,757,1201,1262,731,658,578,642,977,926,992,1109,923,1291,1087,1358,1212,1492,1323,1458,1470,1232,1367,1101,486,429,696,584,411,344,598,555,883,873,677,780,573,570,568,523
42033,050,42,033,20180,999,,,Clearfield County,81642,38644,83382,37855,81642,83382,42126,41581,2113,2350,2183,2644,2479,2967,1629,1796,958,1185,523,510,505,423,1668,1311,2651,2673,2600,3066,3004,3393,3196,3530,3540,3118,3418,2806,2979,2179,1058,796,1555,1086,794,675,1131,968,1495,1581,1141,1224,834,786,672,514,39516,41801,1940,2213,2118,2620,2289,2706,1545,1626,922,905,372,384,347,406,1149,1271,1937,2328,2103,2686,2382,3133,2698,3233,3089,2900,3103,2665,2818,2317,1027,870,1486,1192,862,803,1273,1110,1791,1977,1467,1815,1326,1419,1472,1222
42035,050,42,035,30820,558,,,Clinton County,39238,19080,37914,18166,39238,37914,19231,18389,1122,1064,1092,1143,1209,1236,717,745,894,783,565,402,566,444,938,848,1056,1089,970,1091,1100,1225,1107,1412,1316,1260,1393,1166,1256,980,443,367,691,482,357,303,525,464,696,763,544,555,390,374,284,193,20007,19525,1083,991,1149,1095,1080,1153,665,716,1080,913,628,484,486,456,851,812,1052,1043,938,1109,1092,1269,1127,1423,1290,1282,1463,1170,1273,996,486,387,710,515,347,365,573,508,790,945,671,846,623,552,550,495
42037,050,42,037,14100,999,,,Columbia County,67295,29498,64151,27733,67295,64151,32276,30523,1659,1606,1706,1894,1893,2071,1204,1205,1676,1355,984,701,865,710,1515,1366,1677,1796,1666,1937,1898,2196,2132,2359,2238,2267,2377,1995,2250,1624,805,545,1177,785,613,464,827,730,1090,1179,857,872,665,555,502,311,35019,33628,1561,1548,1676,1787,1668,1987,1189,1254,2286,1852,1224,959,1037,906,1599,1313,1632,1754,1562,1895,1892,2246,2036,2461,2393,2346,2560,2028,2359,1736,827,595,1261,870,732,526,899,846,1331,1378,1179,1389,956,1080,1160,872
42039,050,42,039,32740,999,,,Crawford County,88765,44686,90366,42416,88765,90366,43333,43968,2647,2824,2738,3176,3007,3454,1919,2135,1405,1536,638,679,572,601,1481,1390,2275,2434,2195,2804,2443,3039,2823,3378,3062,3280,3392,2993,3231,2400,1188,808,1701,1139,925,752,1310,1035,1574,1545,1296,1215,863,792,648,559,45432,46398,2423,2542,2588,3029,2722,3116,1867,2044,1467,1408,670,665,616,645,1472,1419,2323,2534,2363,2865,2651,3417,2961,3572,3353,3405,3531,3066,3341,2497,1221,845,1767,1175,1003,740,1342,1165,1691,1933,1487,1728,1291,1362,1282,1226
42041,050,42,041,25420,276,,,Cumberland County,235406,99988,213674,86951,235406,213674,115589,104213,6590,5977,6679,6742,7093,7071,4401,4231,3906,3575,2025,1819,1879,1734,4865,4059,7584,6671,7115,7302,7393,8431,8060,8650,8871,8249,8711,7372,7964,5363,3013,1771,3991,2484,2080,1530,2844,2239,3591,3458,2952,2742,2205,1678,1777,1065,119817,109461,6143,5685,6659,6506,6815,6783,4332,3990,4249,4095,2041,1932,1870,1670,4450,3670,7028,6048,6446,6965,7013,8236,7870,8672,8926,8253,8876,7544,8333,5725,3132,1961,4338,2684,2349,1767,3256,2663,4419,4669,3917,4124,3546,2964,3809,2855
42045,050,42,045,37980,428,,,Delaware County,558979,222902,550864,216978,558979,550864,267849,262824,17212,17562,17662,19800,18730,20430,13122,12492,9888,8576,4648,3755,4123,3410,10955,8782,16752,15411,15531,18224,15815,21211,17919,22188,20289,19477,20970,16270,18124,12160,5945,4010,7964,5524,4194,3486,5475,5522,7000,9099,6089,7855,5107,4666,4335,2914,291130,288040,16767,16832,17087,18974,18097,19632,11735,11111,9500,8170,4489,3814,4251,3439,11006,9147,17461,16242,16834,19212,16931,22636,19261,23476,22124,20676,22718,17656,19584,13811,6659,4520,9100,6565,4946,4406,6746,6963,8962,12577,8809,11820,8522,8407,9541,7954
42047,050,42,047,41260,999,,,Elk County,31946,17585,35112,18115,31946,35112,15872,17381,788,1030,912,1151,1005,1331,674,858,330,417,129,179,128,163,457,484,796,977,722,1234,971,1392,1229,1529,1347,1331,1483,1137,1249,851,457,301,585,499,302,292,458,434,675,745,505,489,404,322,266,235,16074,17731,759,978,869,1115,998,1233,646,747,257,362,110,141,109,133,391,495,733,949,781,1214,935,1357,1208,1390,1292,1216,1342,1083,1155,890,433,341,600,531,302,312,498,535,753,883,675,740,584,596,644,490
42049,050,42,049,21500,999,,,Erie County,280566,119138,280843,114322,280566,280843,137957,136967,8567,9063,8829,10250,9338,10370,6193,6555,5078,4829,2622,2505,2423,2310,6153,5514,8769,8659,7856,9171,8047,9997,8903,11057,9864,10420,10674,8577,9797,6503,3265,2153,4432,2925,2308,1755,3181,2652,3994,4412,3045,3689,2518,2248,2101,1353,142609,143876,8190,8377,8238,9747,8674,9881,5779,6068,5255,4952,2672,2496,2495,2267,5984,5327,8441,8419,7640,8976,8078,10286,8855,11167,9885,10583,10802,8608,10057,6951,3414,2366,4473,3258,2566,2024,3545,3271,4833,5854,4105,5474,4017,3985,4611,3539
