GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P012001,P012001.2000,P012002,P012002.2000,P012003,P012003.2000,P012004,P012004.2000,P012005,P012005.2000,P012006,P012006.2000,P012007,P012007.2000,P012008,P012008.2000,P012009,P012009.2000,P012010,P012010.2000,P012011,P012011.2000,P012012,P012012.2000,P012013,P012013.2000,P012014,P012014.2000,P012015,P012015.2000,P012016,P012016.2000,P012017,P012017.2000,P012018,P012018.2000,P012019,P012019.2000,P012020,P012020.2000,P012021,P012021.2000,P012022,P012022.2000,P012023,P012023.2000,P012024,P012024.2000,P012025,P012025.2000,P012026,P012026.2000,P012027,P012027.2000,P012028,P012028.2000,P012029,P012029.2000,P012030,P012030.2000,P012031,P012031.2000,P012032,P012032.2000,P012033,P012033.2000,P012034,P012034.2000,P012035,P012035.2000,P012036,P012036.2000,P012037,P012037.2000,P012038,P012038.2000,P012039,P012039.2000,P012040,P012040.2000,P012041,P012041.2000,P012042,P012042.2000,P012043,P012043.2000,P012044,P012044.2000,P012045,P012045.2000,P012046,P012046.2000,P012047,P012047.2000,P012048,P012048.2000,P012049,P012049.2000
42077,050,42,077,10900,999,,,Lehigh County,349497,142613,312090,128910,349497,312090,169312,150554,11047,9615,11629,10924,12064,11296,7786,6505,4706,3836,2180,1763,2091,1638,6011,5123,10404,9142,10486,10767,10714,12435,11915,13031,13010,11487,13200,10017,11228,7454,3910,2497,5416,3455,2750,2190,3865,3318,4910,5287,4120,4225,3252,2752,2618,1797,180185,161536,10359,9147,10942,10467,11507,10768,7346,5962,4872,4018,2341,1861,2209,1818,6319,5136,10711,9294,10770,10587,11141,12675,12357,13183,13761,11692,13534,10525,11689,8016,4251,2685,5987,3837,3133,2537,4538,4071,5911,7044,5542,6404,5185,4872,5780,4937
42079,050,42,079,42540,999,,,Luzerne County,320918,148748,319250,144686,320918,319250,156829,153795,8433,8145,8793,9616,9378,10527,6516,6388,4918,4403,2379,2010,2183,1822,6082,5039,9301,9275,8749,10736,9922,12134,11224,12269,12391,11711,12246,10824,11142,8427,4112,2842,5860,4167,3051,2527,4234,3864,5486,6428,4354,5283,3489,3283,2586,2075,164089,165455,8095,7666,8521,8933,9088,9842,5976,5949,4598,4206,2242,1878,2071,1788,5516,4749,8731,8691,8412,10298,9590,11554,10790,11946,11924,11358,12219,10863,11407,8787,4351,3138,6163,4529,3388,3113,4788,4916,6597,9318,6376,8548,6298,6979,6948,6406
42081,050,42,081,48700,558,,,Lycoming County,116111,52500,120044,52464,116111,120044,56839,58682,3343,3404,3332,4018,3407,4371,2330,2583,2398,2200,1148,1172,1123,899,2501,2068,3218,3418,3002,3804,3214,4395,3507,4703,4088,4514,4537,3888,4214,2965,1447,966,1948,1488,1046,928,1433,1346,1867,2218,1556,1704,1245,982,935,648,59272,61362,3106,3197,3296,3730,3264,4105,2134,2569,1723,1718,851,891,832,854,2243,1850,3501,3370,3097,3799,3451,4666,3840,4906,4477,4495,4686,3970,4169,3121,1440,1089,2132,1607,1160,1063,1669,1568,2242,2759,2075,2501,1822,1789,2062,1745
42083,050,42,083,14620,999,,,McKean County,43450,21225,45936,21644,43450,45936,22159,23013,1217,1331,1300,1538,1345,1681,903,1062,692,569,311,271,282,227,820,781,1288,1550,1414,1727,1526,1787,1626,1919,1620,1766,1774,1460,1571,1190,529,383,752,599,399,353,596,536,759,848,584,681,475,452,376,302,21291,22923,1155,1289,1151,1500,1268,1543,810,954,669,561,286,247,279,236,689,730,1070,1301,1083,1429,1267,1600,1353,1779,1522,1550,1704,1433,1479,1182,546,442,768,656,438,406,609,641,913,1089,800,925,680,691,752,739
42085,050,42,085,49660,566,,,Mercer County,116638,51733,120293,49859,116638,120293,57106,58523,2964,3498,3356,3863,3863,4384,2843,2942,1828,1882,930,879,874,851,1953,1812,2903,3154,2911,3581,3238,4224,3766,4697,4362,4511,4590,3798,4237,3024,1531,1050,1958,1521,1143,935,1552,1448,2071,2542,1677,2020,1450,1186,1106,721,59532,61770,2998,3417,3349,3752,3562,3955,2294,2373,1759,1779,849,898,867,785,1948,1872,2828,3189,2848,3581,3258,4171,3640,4765,4152,4424,4649,3804,4297,3261,1500,1208,2177,1648,1284,1109,1789,1756,2479,3114,2276,2872,2252,2120,2477,1917
42087,050,42,087,30380,999,,,Mifflin County,46682,21537,46486,20745,46682,46486,22842,22420,1506,1514,1546,1573,1569,1748,945,998,525,519,256,243,254,204,725,656,1229,1371,1178,1570,1351,1748,1581,1705,1722,1602,1737,1427,1567,1304,554,480,844,605,498,383,713,590,939,881,730,652,523,399,350,248,23840,24066,1416,1412,1409,1620,1465,1645,928,941,509,481,228,227,220,237,707,691,1230,1362,1219,1591,1407,1749,1581,1654,1730,1593,1668,1571,1633,1385,646,483,954,670,512,474,799,667,1046,1111,924,978,762,794,847,730
42089,050,42,089,20700,999,,,Monroe County,169842,80359,138687,67581,169842,138687,83856,68490,4491,4313,5390,5411,6569,6095,4449,3349,3110,2055,1506,933,1288,852,3250,2039,3969,3145,3871,4142,4607,5898,6141,6185,7350,5497,7103,4668,6016,3465,2082,1219,2840,1637,1500,1006,2036,1502,2506,2267,1762,1551,1228,800,792,461,85986,70197,4197,3967,5181,5265,6130,5659,4167,3069,2980,2101,1345,966,1267,950,2937,2037,3741,3228,4308,4671,5404,6255,6604,6440,7582,5238,7396,4455,5959,3592,2043,1155,2868,1700,1606,1066,2160,1587,2815,2488,2109,1899,1631,1299,1556,1110
42093,050,42,093,14100,999,,,Montour County,18267,7965,18236,7627,18267,18236,8784,8661,549,529,588,623,526,699,385,433,221,228,90,69,87,74,263,219,519,435,483,600,503,657,555,768,691,717,726,545,685,470,239,181,321,218,192,154,223,212,334,304,262,248,198,169,144,109,9483,9575,501,507,476,614,485,646,364,395,165,192,75,78,85,62,315,242,595,501,470,623,486,773,612,780,721,681,785,633,690,470,261,159,355,295,199,164,250,251,412,419,392,398,348,319,441,373
42097,050,42,097,44980,526,,,Northumberland County,94528,45125,94556,43164,94528,94556,47195,46375,2701,2522,2695,2719,2724,3346,1928,2229,1040,1053,529,472,586,491,1780,1494,2900,2911,2799,3222,2920,3735,3253,3734,3673,3547,3720,3171,3572,2539,1247,929,1782,1300,969,783,1313,1169,1774,1915,1407,1556,1048,935,835,603,47333,48181,2572,2281,2570,2688,2533,3028,1720,1886,976,953,431,402,456,463,1446,1275,2555,2601,2447,2921,2727,3445,2950,3598,3478,3440,3705,3162,3459,2595,1267,997,1871,1405,1012,887,1458,1374,2150,2689,1817,2511,1799,1858,1934,1722
42101,050,42,101,37980,428,,,Philadelphia County,1526006,670171,1517550,661958,1526006,1517550,719813,705107,51200,50108,46372,56936,46100,57224,30571,30582,27846,24337,15080,12332,14440,11400,41680,31747,64596,54575,53181,52692,45279,52782,45459,51006,46647,45119,46634,38980,40356,29969,13943,10599,18683,14898,9770,9320,13062,13551,17214,21462,13526,17598,9921,10657,8253,7233,806193,812443,49853,48053,44455,55175,44540,55502,30746,29889,29134,25893,15714,13203,14874,12743,44929,36184,71014,59778,57271,57819,48728,58059,48857,58063,51439,51896,53250,46535,47341,37311,17236,13192,23249,19247,12799,12511,17560,18740,24359,31464,21141,29268,17846,21812,19858,20106
42103,050,42,103,35620,408,,,Pike County,57369,38350,46302,34681,57369,46302,28686,23074,1505,1443,1819,1886,2164,2010,1443,994,807,468,336,187,285,160,750,514,1166,848,1276,1325,1575,1965,2085,2074,2559,1768,2435,1547,2138,1297,786,506,1111,696,621,460,960,664,1214,1117,766,648,590,310,295,187,28683,23228,1318,1280,1670,1780,2021,1959,1418,1000,671,442,252,168,256,140,730,398,1131,970,1322,1482,1700,2091,2239,2068,2688,1771,2404,1471,2083,1384,756,491,1167,702,716,442,977,706,1154,1041,847,718,637,370,526,354
42107,050,42,107,39060,999,,,Schuylkill County,148289,69323,150336,67806,148289,150336,75175,74818,4001,3742,4229,4592,4258,4895,2846,2942,1765,1691,735,887,730,795,2593,2549,4738,5056,4771,5658,5263,6041,5610,6220,6045,5826,6105,5149,5490,3820,1965,1405,2805,1931,1504,1182,1952,1935,2659,3222,2114,2657,1698,1615,1299,1008,73114,75518,3710,3615,3900,4155,4148,4560,2646,2850,1458,1525,705,705,662,674,2199,2013,3813,4138,3789,4670,4403,5168,5085,5575,5299,5338,5612,4911,5284,3921,1983,1344,2816,2109,1555,1466,2201,2377,3029,4370,2970,4089,2809,3077,3038,2868
42109,050,42,109,42780,526,,,Snyder County,39702,16027,37546,14890,39702,37546,19597,18352,1273,1112,1311,1220,1280,1454,785,808,848,688,438,333,385,326,800,674,1044,1082,1003,1211,1197,1441,1272,1448,1386,1354,1456,1208,1336,996,472,309,656,471,368,271,522,412,651,624,500,439,384,299,230,172,20105,19194,1151,986,1185,1242,1147,1416,762,776,885,757,458,379,404,403,751,651,1023,1019,1024,1252,1154,1399,1300,1428,1415,1307,1426,1216,1333,1037,483,335,715,533,409,300,552,463,784,803,632,623,563,458,549,411
42111,050,42,111,43740,999,,,Somerset County,77742,38113,80023,37163,77742,80023,40029,39967,1879,2109,2048,2476,2288,2764,1476,1707,878,949,409,490,449,491,1472,1440,2442,2650,2532,2760,2677,3051,2890,3308,3170,3235,3364,2730,3159,2104,1171,737,1512,1091,820,637,1108,973,1495,1600,1115,1374,890,800,785,491,37713,40056,1823,2092,2030,2395,2179,2640,1408,1660,786,836,330,368,338,398,1079,1097,1776,2155,1906,2338,2220,2829,2360,3169,2797,2868,3118,2611,2827,2061,1091,824,1427,1154,809,742,1161,1164,1722,2040,1512,1951,1411,1358,1603,1306
42117,050,42,117,99999,999,,,Tioga County,41981,21364,41373,19893,41981,41373,20573,20253,1092,1173,1165,1354,1230,1508,823,1023,775,696,382,339,358,360,789,718,1093,1082,996,1160,1110,1393,1261,1538,1476,1435,1642,1345,1513,1125,570,423,833,648,452,373,684,554,913,764,688,584,414,405,314,253,21408,21120,1135,1061,1121,1296,1190,1444,834,953,907,864,450,360,361,371,759,694,1077,1050,960,1231,1148,1511,1288,1562,1573,1482,1674,1264,1480,1266,546,425,808,611,481,392,733,547,942,860,767,788,557,561,617,527
42119,050,42,119,30260,526,,,Union County,44947,16997,41624,14684,44947,41624,24711,23036,1041,1002,1220,1197,1187,1358,830,776,993,1032,591,601,605,498,1123,1077,1783,1959,2040,2189,2081,2111,2049,1978,1943,1637,1708,1400,1431,1088,528,377,693,454,367,294,545,395,661,618,549,487,414,282,329,226,20236,18588,1056,1003,1171,1093,1112,1218,693,719,1068,995,513,527,544,439,836,616,1021,928,913,1048,1113,1273,1197,1390,1360,1231,1433,1109,1262,915,427,343,728,459,400,296,532,413,798,740,677,687,618,543,764,603
42121,050,42,121,36340,999,,,Venango County,54984,27464,57565,26904,54984,57565,26910,28103,1565,1635,1559,1903,1689,2183,1245,1467,700,784,284,268,238,250,818,847,1339,1489,1456,1725,1511,2016,1757,2370,2056,2347,2360,1988,2268,1532,743,537,1043,759,599,475,777,721,1030,1192,822,858,631,442,420,315,28074,29462,1523,1633,1526,1822,1685,2041,1040,1263,615,669,285,261,263,279,796,804,1471,1467,1389,1670,1531,2132,1668,2474,2124,2249,2438,1967,2226,1593,777,590,1112,894,629,545,882,861,1202,1475,1069,1164,961,857,862,752
42123,050,42,123,47620,999,,,Warren County,41815,23560,43863,23058,41815,43863,20827,21506,1054,1286,1230,1487,1334,1681,898,1034,492,529,224,183,187,185,601,542,1107,1110,1035,1340,1150,1613,1392,1825,1636,1723,1815,1514,1677,1305,629,455,825,611,445,397,700,541,850,850,644,650,538,398,364,247,20988,22357,1034,1194,1103,1373,1241,1574,824,958,441,441,154,195,179,186,620,527,1006,1175,1010,1323,1171,1616,1344,1833,1609,1709,1783,1558,1661,1339,610,476,899,651,488,403,689,633,905,1048,796,913,712,630,709,602
42125,050,42,125,38300,430,,,Washington County,207820,92977,202897,87267,207820,202897,101035,97446,5475,5729,5966,6570,6426,6713,4095,4064,2979,2614,1540,1277,1460,1141,3451,3005,5109,5177,5243,6204,6079,7270,6850,8266,7865,7989,8572,7167,7954,5309,2796,1818,3994,2570,1964,1546,2735,2350,3640,3973,2754,3391,2239,2082,1849,1221,106785,105451,5081,5506,5716,6183,6132,6414,3793,3818,2932,2398,1546,1140,1375,1107,3175,2945,4998,5360,5355,6437,6162,7780,7135,8636,8169,8041,8849,7268,8079,5664,3044,2037,4059,2957,2137,1809,3173,2997,4467,5285,3842,4977,3519,3662,4047,3030
42127,050,42,127,99999,999,,,Wayne County,52822,31653,47722,30593,52822,47722,27704,23942,1105,1390,1357,1626,1564,1785,1080,1138,609,513,269,223,224,186,866,589,1573,1204,1583,1488,1770,1907,2022,2055,2365,1874,2401,1679,2116,1426,834,467,1232,738,730,461,1017,690,1168,1030,814,744,618,443,387,286,25118,23780,1077,1287,1276,1567,1532,1662,1051,992,496,461,203,196,220,171,616,579,1108,1081,1096,1453,1283,1756,1709,1861,2047,1759,2115,1577,2041,1396,818,519,1136,765,677,488,916,741,1180,1137,986,893,804,712,731,727
42007,050,42,007,38300,430,,,Beaver County,170539,78211,181412,77765,170539,181412,82279,86860,4628,5066,4736,6017,5111,6338,3470,3677,2258,2372,911,1010,957,929,2680,2583,4692,4444,4428,5231,4616,6784,5300,7616,6551,6758,7210,5921,6327,4558,2268,1539,2998,2348,1555,1518,2216,2358,3012,3925,2618,3036,2180,1838,1557,994,88260,94552,4338,4794,4548,5579,4791,5973,3256,3618,2023,2221,979,982,850,859,2666,2558,4596,4677,4507,5746,4785,7135,5562,7884,6916,7026,7531,6200,6749,4923,2415,1854,3226,2768,1792,1745,2591,2789,3987,5087,3528,4504,3356,3125,3268,2505
42029,050,42,029,37980,428,,,Chester County,498886,192462,433501,163773,498886,433501,245161,212739,15954,15025,17691,16828,18318,17040,11599,9596,7218,5357,3140,2381,3022,2425,9024,6848,13885,12157,13462,15033,15609,18493,18101,19396,20315,17066,19842,14664,16704,11120,5547,3488,7871,4556,4172,2674,5411,3883,6506,5901,4978,4577,3756,2668,3036,1563,253725,220762,15172,14305,17238,15728,17399,16065,10684,8995,6900,5652,3341,2553,3187,2612,8570,6591,13438,11847,13688,15683,16156,19256,19067,19758,21143,17597,20276,15079,17293,11463,5888,3501,8269,4666,4534,2965,5893,4471,7500,7234,6315,6238,5543,4299,6231,4204
42043,050,42,043,25420,276,,,Dauphin County,268100,120406,251798,111133,268100,251798,129619,120853,8646,7833,8385,9044,8897,9221,5888,5059,3324,2765,1488,1277,1458,1257,5046,4025,8893,8104,8043,8696,8199,9890,8825,10334,9840,9878,10233,8545,9406,5972,3339,1881,4357,2765,2203,1777,2875,2600,3531,3906,2992,3057,2194,1787,1557,1180,138481,130945,8148,7657,8156,8678,8358,8680,5737,4941,3242,2664,1473,1306,1439,1321,5268,4440,9354,8431,8424,8975,8505,10428,9048,10895,10547,10167,11027,8889,9940,6438,3513,2242,4813,3256,2431,2096,3243,3134,4735,5154,4028,4713,3433,3377,3619,3063
42091,050,42,091,37980,428,,,Montgomery County,799874,325735,750097,297434,799874,750097,387964,362554,24303,24091,25524,26272,26862,27330,17077,15336,9315,7896,3966,3496,3967,3516,13841,11188,24609,23101,23872,27346,25342,31129,28258,31857,31205,27766,31198,24446,26429,18443,9247,5931,12537,8198,6567,5037,8932,7712,11244,12241,9349,10088,7743,6164,6577,3970,411910,387543,23002,23199,24789,25069,25708,25544,16234,14304,8955,8223,4150,3750,4116,3686,13550,11334,24072,22715,24088,27769,25794,32351,29490,32616,33277,29172,32631,25351,28326,19986,9749,6460,13664,9429,7655,5923,10158,9108,13936,15541,12680,14627,11848,10639,14038,10747
42133,050,42,133,49620,564,,,York County,434972,178671,381751,156720,434972,381751,214563,187667,13741,11923,14480,13930,14926,14373,9367,8180,5839,4751,2729,2112,2528,1962,7371,5719,12473,11225,12450,13571,14115,16177,15989,16554,17440,14799,17015,13052,14783,10178,5157,3178,7308,4455,4011,2827,5175,3916,6489,5689,4981,4550,3457,2737,2739,1809,220409,194084,12851,11297,13707,13058,13976,13483,8966,7739,5335,4558,2588,2088,2384,1950,7222,5633,12743,11633,12718,13597,14437,16467,15901,16477,17732,14802,17119,13131,15248,10106,5519,3353,7758,4748,4081,2918,5619,4439,7326,7183,6237,6463,5302,4663,5640,4298
42011,050,42,011,39740,428,,,Berks County,411442,164827,373638,150222,411442,373638,201864,182956,13001,11928,13664,13739,14384,13747,9338,7995,6909,5397,3250,2526,2908,2322,7517,6249,11605,10863,11322,12902,12352,15078,14178,15203,15863,13429,15373,12186,13202,8938,4764,2973,6594,4177,3307,2810,4542,3916,5947,6502,5004,4949,3858,3028,2982,2099,209578,190682,12287,11104,13296,12835,13444,13127,8722,7434,6816,5668,3238,2619,2971,2321,7471,5935,11679,10849,11551,12840,12828,15267,14545,14941,16202,13466,15268,12224,13469,9450,4809,3079,7064,4637,3694,3051,5162,4701,6924,7786,6335,6929,5592,5258,6211,5161
42017,050,42,017,37980,428,,,Bucks County,625249,245956,597635,225498,625249,597635,306663,293182,17455,19410,19998,22253,22099,23640,14067,13411,7606,7021,3368,2900,3135,2787,10603,8801,16788,16327,16196,20851,18501,26103,22489,27309,26827,23902,27130,20553,22691,15639,7775,4918,10626,6632,5651,3920,7412,5818,9195,8652,7326,6513,5530,3668,4195,2154,318586,304453,16695,18878,18921,21021,20971,21995,13308,12878,6743,6373,2943,2665,2922,2663,10013,8505,16787,16565,16526,21678,19284,27001,23685,27448,27802,24264,27331,21230,23376,15951,8078,4989,11291,6980,5951,4433,8338,6551,10712,10609,9409,9291,8308,6416,9192,6069
42059,050,42,059,99999,999,,,Greene County,38686,16460,40672,16678,38686,40672,19929,20951,1031,1128,1064,1335,1170,1331,733,811,608,603,290,370,324,356,749,920,1277,1603,1343,1626,1397,1593,1463,1752,1531,1737,1567,1456,1541,1041,547,330,716,480,394,277,490,386,611,662,460,534,357,380,266,240,18757,19721,917,970,1044,1264,1018,1307,703,833,676,512,303,260,268,264,641,660,985,1143,1006,1259,1199,1291,1195,1543,1305,1539,1486,1368,1409,990,540,319,709,485,394,338,521,533,642,849,633,818,578,605,585,571
42069,050,42,069,42540,999,,,Lackawanna County,214437,96832,213295,95362,214437,213295,103119,100614,6003,5731,6009,6510,6354,7167,4161,4352,3294,3053,1642,1371,1562,1423,4037,3362,6329,5713,5794,6711,6047,7498,7020,7933,7624,7594,8022,6949,7418,5366,2745,1878,3781,2663,2054,1635,2709,2398,3612,4298,2771,3365,2281,2259,1850,1385,111318,112681,5556,5482,5708,6439,6103,6734,4053,4012,3357,3152,1749,1632,1737,1508,4152,3396,6233,5931,5883,6663,6232,7771,7026,8191,7955,7660,8255,7221,7668,5701,2892,1967,4141,3019,2180,2103,3077,3212,4348,6101,4150,5948,4087,4525,4776,4313
42073,050,42,073,35260,430,,,Lawrence County,91108,40975,94643,39635,91108,94643,43909,44994,2422,2694,2611,3132,2973,3285,1886,2042,1246,1300,566,632,518,553,1459,1419,2265,2351,2377,2751,2576,3149,2864,3755,3168,3507,3682,2942,3409,2303,1229,795,1577,1168,817,748,1228,1182,1594,1954,1403,1711,1117,994,922,627,47199,49649,2444,2611,2549,2998,2684,3120,1783,1998,1225,1346,574,637,525,584,1351,1422,2410,2464,2371,2776,2608,3314,2922,3772,3380,3670,3760,3121,3535,2524,1271,913,1760,1372,943,905,1401,1433,2031,2607,1896,2568,1785,1893,1991,1601
42095,050,42,095,10900,999,,,Northampton County,297735,120363,267066,106710,297735,267066,145386,129961,8229,7644,9135,9114,9556,9666,6328,5544,5046,4385,2614,2129,2464,1995,5402,4330,8104,7211,7762,8660,9035,10532,10356,11038,11511,9928,11509,8916,10104,6732,3561,2155,5020,2984,2636,1774,3579,2870,4350,4643,3555,3750,3063,2429,2467,1532,152349,137105,8002,7218,8840,8602,9101,9187,5986,5292,4537,4067,2099,2030,2102,1826,5113,3903,7943,7132,8272,9023,9294,10587,10668,11479,11608,10105,12107,9090,10476,7049,3862,2230,5383,3253,2820,2129,4039,3416,5240,5993,4839,5519,4593,4277,5425,3698
42099,050,42,099,25420,276,,,Perry County,45969,20424,43602,18941,45969,43602,23057,21620,1444,1332,1410,1493,1544,1725,1140,1090,590,563,257,246,282,232,725,620,1269,1256,1279,1574,1468,1761,1685,1851,1834,1822,1864,1663,1804,1174,710,385,900,519,442,312,611,462,719,640,509,449,356,280,215,171,22912,21982,1317,1332,1408,1595,1464,1608,979,955,563,499,237,222,213,175,700,662,1248,1278,1270,1584,1461,1802,1679,1872,1780,1774,1907,1512,1773,1209,640,344,831,528,427,335,656,502,751,765,632,663,501,395,475,371
42105,050,42,105,99999,999,,,Potter County,17457,12932,18080,12159,17457,18080,8724,8920,519,554,518,683,572,746,432,424,231,227,78,83,69,84,262,249,455,500,394,540,468,616,512,706,664,658,702,589,659,519,261,199,373,258,205,154,319,236,407,323,271,285,190,178,163,109,8733,9160,455,558,511,607,537,691,357,434,169,205,77,70,77,78,254,247,402,457,394,563,451,677,559,665,681,659,653,586,674,503,266,159,368,272,202,160,312,267,403,406,339,360,275,278,317,258
42113,050,42,113,99999,999,,,Sullivan County,6428,6304,6556,6017,6428,6556,3307,3312,118,140,116,158,130,195,155,219,155,149,61,39,51,35,114,83,143,127,131,175,141,230,172,258,252,226,280,215,292,183,104,78,166,136,87,72,135,114,197,195,144,137,102,83,61,65,3121,3244,137,141,115,160,125,196,130,157,62,79,34,47,23,34,85,52,120,148,115,164,138,231,160,246,247,195,296,224,232,203,108,83,163,116,103,82,133,106,178,170,160,153,136,134,121,123
42115,050,42,115,99999,999,,,Susquehanna County,43356,22968,42238,21829,43356,42238,21795,21003,1093,1222,1244,1573,1436,1721,996,1090,570,526,212,212,209,184,645,501,1079,1049,1016,1225,1213,1638,1394,1808,1839,1601,1997,1459,1674,1248,638,444,904,643,586,374,707,512,966,801,641,567,466,345,270,260,21561,21235,1080,1178,1143,1415,1330,1605,845,960,491,469,220,189,178,188,594,573,984,1023,1081,1305,1149,1635,1398,1750,1755,1563,1871,1399,1662,1260,668,419,903,617,499,359,775,540,949,857,703,781,597,634,686,516
42129,050,42,129,38300,430,,,Westmoreland County,365169,168199,369993,161058,365169,369993,177722,178435,9073,9805,9787,11834,10887,12618,7554,7610,4741,4229,2039,1852,1954,1688,5679,4986,9093,9386,8972,11764,10393,13842,12541,15641,14076,14651,15686,12895,14158,9963,5074,3438,7125,4774,3609,2859,5273,4589,6717,7828,5405,6187,4500,3735,3386,2261,187447,191558,8598,9370,9428,11063,10466,11812,6818,7118,4265,4083,1928,1706,1746,1632,5297,4930,8807,9315,8804,11866,10417,14209,12738,15775,14522,14908,15992,13471,14548,10701,5501,3715,7585,5562,4067,3533,5921,5647,8142,9997,7451,9255,7036,6514,7370,5376
42131,050,42,131,42540,999,,,Wyoming County,28276,13254,28080,12713,28276,28080,14134,13939,762,827,833,1041,933,1143,663,696,406,425,226,193,166,151,497,402,733,850,718,864,893,1080,869,1113,1142,1100,1112,1037,1110,871,390,281,609,338,345,211,490,290,497,429,342,290,232,191,166,116,14142,14141,759,800,786,945,841,1020,572,692,377,397,178,152,160,125,427,393,750,829,720,922,883,1080,944,1145,1053,1064,1188,997,1083,797,410,255,555,338,333,196,432,301,526,548,392,479,386,353,387,313
